experiment,dataset,model,baseline,decoding_mode,width,block_size,request_rate,total_blocks_without_sharing,total_blocks_with_sharing,shared_blocks,saved_blocks,memory_saving_ratio,prefix_memory_saving_ratio,prefix_hit_tokens,cow_count,normalized_latency,useful_capacity_ratio,internal_fragmentation_ratio,external_fragmentation_ratio,running_requests,source
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,basic_sampling,1,16,4.0,626,626,0,0,0.0,0.0,0,0,0.02,0.95,0.05,0.0,4,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,basic_sampling,2,16,4.0,1252,1252,0,0,0.0,0.0,0,3,0.02,0.95,0.05,0.0,8,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,basic_sampling,4,16,4.0,2504,2504,0,0,0.0,0.0,0,9,0.02,0.95,0.05,0.0,16,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,basic_sampling,6,16,4.0,3756,3756,0,0,0.0,0.0,0,15,0.02,0.95,0.05,0.0,24,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,parallel_sampling,1,16,4.0,626,604,22,22,0.03514376996805112,0.03514376996805112,352,0,0.019312089492470857,0.95,0.05,0.0,4,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,parallel_sampling,2,16,4.0,1252,1182,70,70,0.05591054313099041,0.05591054313099041,1120,3,0.018931192154471442,0.95,0.05,0.0,8,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,parallel_sampling,4,16,4.0,2504,2297,207,207,0.08266773162939298,0.08266773162939298,3312,9,0.018472188430674122,0.95,0.05,0.0,16,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,parallel_sampling,6,16,4.0,3756,3381,375,375,0.09984025559105432,0.09984025559105432,6000,15,0.01818181818181818,0.95,0.05,0.0,24,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,beam_search,1,16,4.0,626,524,102,102,0.16293929712460065,0.16293929712460065,1632,0,0.017184266717431992,0.95,0.05,0.0,4,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,beam_search,2,16,4.0,1252,927,325,325,0.2595846645367412,0.2595846645367412,5200,12,0.01587673914898017,0.95,0.05,0.0,8,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,beam_search,4,16,4.0,2504,1552,952,952,0.3801916932907348,0.3801916932907348,15232,36,0.014487921810352088,0.95,0.05,0.0,16,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,beam_search,6,16,4.0,3756,2029,1727,1727,0.45979765708200215,0.45979765708200215,27632,60,0.013698630136986302,0.95,0.05,0.0,24,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,shared_prefix_serving,1,16,4.0,626,586,40,40,0.06389776357827476,0.06389776357827476,640,0,0.01879492055884661,0.95,0.05,0.0,4,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,shared_prefix_serving,2,16,4.0,1252,1125,127,127,0.10143769968051118,0.10143769968051118,2032,3,0.01815502291728178,0.95,0.05,0.0,8,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,shared_prefix_serving,4,16,4.0,2504,2132,372,372,0.1485623003194888,0.1485623003194888,5952,9,0.017408322942886027,0.95,0.05,0.0,16,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,shared_prefix_serving,6,16,4.0,3756,3080,676,676,0.1799787007454739,0.1799787007454739,10816,15,0.01694915254237288,0.95,0.05,0.0,24,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,basic_sampling,1,16,4.0,5233,5233,0,0,0.0,0.0,0,0,0.02,0.95,0.05,0.0,4,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,basic_sampling,2,16,4.0,10466,10466,0,0,0.0,0.0,0,3,0.02,0.95,0.05,0.0,8,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,basic_sampling,4,16,4.0,20932,20932,0,0,0.0,0.0,0,9,0.02,0.95,0.05,0.0,16,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,basic_sampling,6,16,4.0,31398,31398,0,0,0.0,0.0,0,15,0.02,0.95,0.05,0.0,24,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,parallel_sampling,1,16,4.0,5233,4786,447,447,0.08541945346837378,0.08541945346837378,7152,0,0.01842486348890434,0.95,0.05,0.0,4,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,parallel_sampling,2,16,4.0,10466,9048,1418,1418,0.13548633670934454,0.13548633670934454,22688,3,0.017613417069909435,0.95,0.05,0.0,8,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,parallel_sampling,4,16,4.0,20932,16777,4155,4155,0.1984999044525129,0.1984999044525129,66480,9,0.016687512232977424,0.95,0.05,0.0,16,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,parallel_sampling,6,16,4.0,31398,23863,7535,7535,0.23998343843556916,0.23998343843556916,120560,15,0.016129032258064516,0.95,0.05,0.0,24,measured_by_our_code
