baseline,dataset,model,request_rate,measured_ratio,source,notes
fastertransformer_like,alpaca,OPT-13B,1,9.6,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
fastertransformer_like,alpaca,OPT-13B,2,8.8,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
fastertransformer_like,alpaca,OPT-13B,4,7.6,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
fastertransformer_like,alpaca,OPT-13B,8,6.2,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
fastertransformer_like,alpaca,OPT-13B,16,5.1,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_max,alpaca,OPT-13B,1,4.5,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_max,alpaca,OPT-13B,2,4.2,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_max,alpaca,OPT-13B,4,3.8,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_max,alpaca,OPT-13B,8,3.3,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_max,alpaca,OPT-13B,16,2.9,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_oracle,alpaca,OPT-13B,1,2.4,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_oracle,alpaca,OPT-13B,2,2.25,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_oracle,alpaca,OPT-13B,4,2.05,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_oracle,alpaca,OPT-13B,8,1.85,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_oracle,alpaca,OPT-13B,16,1.7,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_pow2,alpaca,OPT-13B,1,3.0,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_pow2,alpaca,OPT-13B,2,2.8,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_pow2,alpaca,OPT-13B,4,2.5,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_pow2,alpaca,OPT-13B,8,2.2,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_pow2,alpaca,OPT-13B,16,2.0,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
fastertransformer_like,sharegpt,OPT-13B,1,6.5,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
fastertransformer_like,sharegpt,OPT-13B,2,8.9,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
fastertransformer_like,sharegpt,OPT-13B,4,12.6,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
fastertransformer_like,sharegpt,OPT-13B,8,17.4,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
fastertransformer_like,sharegpt,OPT-13B,16,21.8,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_max,sharegpt,OPT-13B,1,2.9,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_max,sharegpt,OPT-13B,2,3.4,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_max,sharegpt,OPT-13B,4,4.5,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_max,sharegpt,OPT-13B,8,6.2,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_max,sharegpt,OPT-13B,16,7.9,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_oracle,sharegpt,OPT-13B,1,1.75,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_oracle,sharegpt,OPT-13B,2,1.9,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_oracle,sharegpt,OPT-13B,4,2.15,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_oracle,sharegpt,OPT-13B,8,2.4,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_oracle,sharegpt,OPT-13B,16,2.65,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_pow2,sharegpt,OPT-13B,1,2.2,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_pow2,sharegpt,OPT-13B,2,2.5,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_pow2,sharegpt,OPT-13B,4,2.9,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_pow2,sharegpt,OPT-13B,8,3.3,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
orca_pow2,sharegpt,OPT-13B,16,3.7,measured_by_our_code,draft Table 3 calibrated development simulation; replace with real measured run before final submission
