metric,dataset,model,baseline,value,unit,source
useful_capacity_ratio,alpaca,OPT-13B,orca_max,0.033216,ratio,measured_by_our_code
internal_fragmentation_ratio,alpaca,OPT-13B,orca_max,0.966784,ratio,measured_by_our_code
avg_concurrent_requests,alpaca,OPT-13B,orca_max,6.954,requests,measured_by_our_code
useful_capacity_ratio,alpaca,OPT-13B,orca_oracle,1.0,ratio,measured_by_our_code
internal_fragmentation_ratio,alpaca,OPT-13B,orca_oracle,0.0,ratio,measured_by_our_code
avg_concurrent_requests,alpaca,OPT-13B,orca_oracle,17.871,requests,measured_by_our_code
useful_capacity_ratio,alpaca,OPT-13B,orca_pow2,0.898327,ratio,measured_by_our_code
internal_fragmentation_ratio,alpaca,OPT-13B,orca_pow2,0.101673,ratio,measured_by_our_code
avg_concurrent_requests,alpaca,OPT-13B,orca_pow2,14.371,requests,measured_by_our_code
useful_capacity_ratio,alpaca,OPT-13B,pagedkv,0.94414,ratio,measured_by_our_code
internal_fragmentation_ratio,alpaca,OPT-13B,pagedkv,0.05586,ratio,measured_by_our_code
avg_concurrent_requests,alpaca,OPT-13B,pagedkv,27.299,requests,measured_by_our_code
useful_capacity_ratio,sharegpt,OPT-13B,orca_max,0.284915,ratio,measured_by_our_code
internal_fragmentation_ratio,sharegpt,OPT-13B,orca_max,0.715085,ratio,measured_by_our_code
avg_concurrent_requests,sharegpt,OPT-13B,orca_max,9.91,requests,measured_by_our_code
useful_capacity_ratio,sharegpt,OPT-13B,orca_oracle,1.0,ratio,measured_by_our_code
internal_fragmentation_ratio,sharegpt,OPT-13B,orca_oracle,0.0,ratio,measured_by_our_code
avg_concurrent_requests,sharegpt,OPT-13B,orca_oracle,19.382,requests,measured_by_our_code
useful_capacity_ratio,sharegpt,OPT-13B,orca_pow2,0.93162,ratio,measured_by_our_code
internal_fragmentation_ratio,sharegpt,OPT-13B,orca_pow2,0.06838,ratio,measured_by_our_code
avg_concurrent_requests,sharegpt,OPT-13B,orca_pow2,23.83,requests,measured_by_our_code
useful_capacity_ratio,sharegpt,OPT-13B,pagedkv,0.991886,ratio,measured_by_our_code
internal_fragmentation_ratio,sharegpt,OPT-13B,pagedkv,0.008114,ratio,measured_by_our_code
avg_concurrent_requests,sharegpt,OPT-13B,pagedkv,43.227,requests,measured_by_our_code
